pokemon,score,type_1,type_2,attack,defense,stamina,stat_product,level,fast_move,charged_move_1,charged_move_2,damage_cm_1,energy_cm_1,dpe_cm_1,damage_cm_2,energy_cm_2,dpe_cm_2,damage_fm,turns_fm,energy_fm,cd_fm,dpt_fm,ept_fm,bulk,is_dual_type
Carracosta,73.6,water,rock,121.2,128.6,117,1823041,21.0,Water Gun,Surf,Body Slam,65,-40,1.63,60,-35,1.71,3,0,3,0.5,3.0,3.0,15046.199999999999,True
Kingler,73.6,water,none,145.7,111.5,94,1526953,19.5,Mud Shot,Crabhammer,X-Scissor,85,-50,1.7,45,-35,1.29,3,1,9,1.0,1.5,4.5,10481.0,False
Simisage,73.5,grass,none,138.7,92.3,126,1613093,24.0,Vine Whip,Grass Knot,Crunch,90,-50,1.8,70,-45,1.56,5,1,8,1.0,2.5,4.0,11629.8,False
Torterra,73.5,grass,ground,121.1,115.9,131,1838442,19.0,Razor Leaf,Frenzy Plant,Stone Edge,100,-45,2.22,100,-55,1.82,10,1,4,1.0,5.0,2.0,15182.900000000001,True
Bisharp,73.4,dark,steel,139.8,107.9,105,1584629,19.5,Snarl,Dark Pulse,X-Scissor,80,-50,1.6,45,-35,1.29,5,2,13,1.5,1.67,4.33,11329.5,True
Grimer (Alolan),73.4,poison,dark,118.5,83.0,162,1593601,40.0,Poison Jab,Crunch,Sludge Bomb,70,-45,1.56,80,-50,1.6,6,1,7,1.0,3.0,3.5,13446.0,True
Moltres,73.4,fire,flying,138.4,103.7,113,1621207,16.0,Fire Spin,Sky Attack,Overheat,75,-45,1.67,130,-55,2.36,9,2,10,1.5,3.0,3.33,11718.1,True
Manectric,73.3,electric,none,142.5,92.0,118,1545899,23.5,Snarl,Wild Charge,Flame Burst,100,-45,2.22,70,-55,1.27,5,2,13,1.5,1.67,4.33,10856.0,False
Cloyster,73.2,water,ice,121.2,165.9,92,1849900,21.0,Ice Shard,Icy Wind,Hydro Pump,60,-45,1.33,130,-75,1.73,9,2,10,1.5,3.0,3.33,15262.800000000001,True
Arcanine (Shadow),73.1,fire,none,133.2,100.3,125,1670095,18.0,Snarl,Wild Charge,Flamethrower,100,-45,2.22,90,-55,1.64,5,2,13,1.5,1.67,4.33,12537.5,False
Leafeon,73.0,grass,none,128.7,132.8,101,1725483,19.0,Quick Attack,Leaf Blade,Last Resort,70,-35,2.0,90,-55,1.64,5,1,7,1.0,2.5,3.5,13412.800000000001,False
Alakazam (Shadow),72.9,psychic,none,158.1,98.0,91,1410853,18.0,Counter,Fire Punch,Shadow Ball,55,-40,1.38,100,-55,1.82,8,1,7,1.0,4.0,3.5,8918.0,False
Qwilfish,72.9,water,poison,131.9,103.4,123,1677814,27.0,Poison Sting,Aqua Tail,Sludge Wave,50,-35,1.43,110,-65,1.69,3,1,8,1.0,1.5,4.0,12718.2,True
Venomoth (Shadow),72.9,bug,poison,128.9,104.4,129,1735654,27.5,Infestation,Poison Fang,Bug Buzz,40,-35,1.14,90,-60,1.5,6,2,12,1.5,2.0,4.0,13467.6,True
Banette,72.8,ghost,none,145.9,91.6,113,1510933,24.0,Shadow Claw,Shadow Ball,Thunder,100,-55,1.82,100,-60,1.67,6,1,8,1.0,3.0,4.0,10350.8,False
Durant,72.8,bug,steel,135.5,120.4,100,1630642,20.5,Bug Bite,X-Scissor,Stone Edge,45,-35,1.29,100,-55,1.82,3,0,3,0.5,3.0,3.0,12040.0,True
Krookodile,72.8,ground,dark,132.6,96.3,130,1661109,18.0,Snarl,Crunch,Earthquake,70,-45,1.56,120,-65,1.85,5,2,13,1.5,1.67,4.33,12519.0,True
Venomoth,72.8,bug,poison,128.9,104.4,129,1735654,27.5,Infestation,Poison Fang,Bug Buzz,40,-35,1.14,90,-60,1.5,6,2,12,1.5,2.0,4.0,13467.6,True
Bouffalant,72.7,normal,none,119.5,113.5,137,1857953,20.0,Mud Shot,Stomp,Megahorn,55,-40,1.38,100,-55,1.82,3,1,9,1.0,1.5,4.5,15549.5,False
Amoonguss,72.6,grass,poison,109.7,103.5,178,2021129,26.0,Feint Attack,Grass Knot,Foul Play,90,-50,1.8,70,-45,1.56,6,1,6,1.0,3.0,3.0,18423.0,True
Hippowdon,72.6,ground,none,117.9,115.6,139,1894516,18.0,Ice Fang,Body Slam,Earth Power,60,-35,1.71,90,-55,1.64,8,1,5,1.0,4.0,2.5,16068.4,False
Marowak (Shadow),72.6,ground,none,111.4,145.3,124,2007734,31.0,Mud Slap,Bone Club,Earthquake,40,-35,1.14,120,-65,1.85,11,2,8,1.5,3.67,2.67,18017.2,False
Arcanine,72.5,fire,none,133.2,100.3,125,1670095,18.0,Snarl,Wild Charge,Flamethrower,100,-45,2.22,90,-55,1.64,5,2,13,1.5,1.67,4.33,12537.5,False
Mamoswine (Shadow),72.5,ice,ground,137.9,85.5,137,1614801,16.0,Powder Snow,Avalanche,Bulldoze,90,-45,2.0,80,-60,1.33,5,1,8,1.0,2.5,4.0,11713.5,True
Moltres (Shadow),72.5,fire,flying,138.4,103.7,113,1621207,16.0,Fire Spin,Sky Attack,Overheat,75,-45,1.67,130,-55,2.36,9,2,10,1.5,3.0,3.33,11718.1,True
Entei,72.4,fire,none,128.9,97.3,138,1730189,15.5,Fire Spin,Flame Charge,Iron Head,65,-50,1.3,70,-50,1.4,9,2,10,1.5,3.0,3.33,13427.4,False
Greninja,72.4,water,dark,141.0,99.8,113,1589415,20.0,Bubble,Night Slash,Surf,50,-35,1.43,65,-40,1.63,7,2,11,1.5,2.33,3.67,11277.4,True
Vullaby,72.4,dark,flying,94.8,121.7,147,1696693,40.0,Feint Attack,Brave Bird,Foul Play,130,-55,2.36,70,-45,1.56,6,1,6,1.0,3.0,3.0,17889.9,True
Gurdurr,72.3,fighting,none,126.7,98.8,141,1764431,26.0,Poison Jab,Brick Break,Stone Edge,40,-35,1.14,100,-55,1.82,6,1,7,1.0,3.0,3.5,13930.8,False
Entei (Shadow),72.2,fire,none,128.9,97.3,138,1730189,15.5,Fire Spin,Flame Charge,Iron Head,65,-50,1.3,70,-50,1.4,9,2,10,1.5,3.0,3.33,13427.4,False
Houndoom,72.2,dark,fire,141.4,93.7,119,1576073,21.0,Snarl,Crunch,Flamethrower,70,-45,1.56,90,-55,1.64,5,2,13,1.5,1.67,4.33,11150.300000000001,True
Magmar,72.2,fire,none,135.2,105.7,114,1628984,23.0,Karate Chop,Fire Punch,Return,55,-40,1.38,130,-70,1.86,5,1,8,1.0,2.5,4.0,12049.800000000001,False
Mamoswine,72.1,ice,ground,137.9,85.5,137,1614801,16.0,Powder Snow,Avalanche,Bulldoze,90,-45,2.0,80,-60,1.33,5,1,8,1.0,2.5,4.0,11713.5,True
Rapidash,72.1,fire,none,136.3,109.6,110,1643375,21.5,Incinerate,Drill Run,Flame Charge,80,-45,1.78,65,-50,1.3,15,4,20,2.5,3.0,4.0,12056.0,False
Seviper,72.1,poison,none,138.9,90.8,127,1601430,26.5,Poison Jab,Crunch,Poison Fang,70,-45,1.56,40,-35,1.14,6,1,7,1.0,3.0,3.5,11531.6,False
Dunsparce,71.9,normal,none,105.9,108.2,184,2108416,36.0,Bite,Drill Run,Rock Slide,80,-45,1.78,75,-45,1.67,4,0,2,0.5,4.0,2.0,19908.8,False
Shelgon (Shadow),71.9,dragon,none,125.6,118.0,120,1779129,27.0,Dragon Breath,Flamethrower,Dragon Pulse,90,-55,1.64,90,-60,1.5,4,0,3,0.5,4.0,3.0,14160.0,False
Swellow,71.9,normal,flying,136.9,99.1,119,1615281,28.5,Wing Attack,Brave Bird,Sky Attack,130,-55,2.36,75,-45,1.67,5,1,7,1.0,2.5,3.5,11792.9,True
Aggron (Shadow),71.8,steel,rock,117.3,153.6,105,1891990,18.0,Smack Down,Stone Edge,Heavy Slam,100,-55,1.82,70,-50,1.4,12,2,8,1.5,4.0,2.67,16128.0,True
Hydreigon,71.8,dark,dragon,137.1,104.0,114,1625509,15.0,Dragon Breath,Dark Pulse,Dragon Pulse,80,-50,1.6,90,-60,1.5,4,0,3,0.5,4.0,3.0,11856.0,True
Klang,71.8,steel,none,115.8,139.4,120,1938135,31.0,Thunder Shock,Thunderbolt,Vise Grip,90,-55,1.64,40,-40,1.0,3,1,9,1.0,1.5,4.5,16728.0,False
Chansey,71.7,normal,none,59.3,113.0,396,2652629,40.0,Pound,Psychic,Hyper Beam,90,-55,1.64,150,-80,1.88,5,1,4,1.0,2.5,2.0,44748.0,False
Cloyster (Shadow),71.7,water,ice,121.2,165.9,92,1849900,21.0,Ice Shard,Icy Wind,Hydro Pump,60,-45,1.33,130,-75,1.73,9,2,10,1.5,3.0,3.33,15262.800000000001,True
Latias,71.7,dragon,psychic,124.6,134.1,107,1788747,15.5,Dragon Breath,Outrage,Psychic,110,-60,1.83,90,-55,1.64,4,0,3,0.5,4.0,3.0,14348.699999999999,True
Fletchinder,71.6,fire,flying,126.4,98.8,136,1698842,40.0,Ember,Flame Charge,Aerial Ace,65,-50,1.3,55,-45,1.22,7,1,6,1.0,3.5,3.0,13436.8,True
Nidoqueen,71.6,poison,ground,118.5,114.7,139,1889232,23.0,Poison Jab,Earth Power,Stone Edge,90,-55,1.64,100,-55,1.82,6,1,7,1.0,3.0,3.5,15943.300000000001,True
Scyther (Shadow),71.6,bug,flying,136.7,110.1,109,1640076,20.5,Fury Cutter,Night Slash,X-Scissor,50,-35,1.43,45,-35,1.29,2,0,4,0.5,2.0,4.0,12000.9,True
Simipour,71.6,water,none,138.7,92.3,126,1613093,24.0,Water Gun,Surf,Crunch,65,-40,1.63,70,-45,1.56,3,0,3,0.5,3.0,3.0,11629.8,False
Breloom,71.5,grass,fighting,151.2,96.1,101,1467723,21.0,Counter,Dynamic Punch,Grass Knot,90,-50,1.8,90,-50,1.8,8,1,7,1.0,4.0,3.5,9706.099999999999,True
Combusken,71.4,fire,fighting,131.2,99.3,130,1693699,37.5,Ember,Rock Slide,Flame Charge,75,-45,1.67,65,-50,1.3,7,1,6,1.0,3.5,3.0,12909.0,True
Darmanitan (Standard),71.4,fire,none,150.9,71.5,136,1467821,17.5,Incinerate,Rock Slide,Overheat,75,-45,1.67,130,-55,2.36,15,4,20,2.5,3.0,4.0,9724.0,False
Golurk,71.4,ground,ghost,135.6,96.2,127,1656479,20.0,Mud Slap,Shadow Punch,Dynamic Punch,40,-35,1.14,90,-50,1.8,11,2,8,1.5,3.67,2.67,12217.4,True
Ariados,71.3,bug,poison,126.4,101.2,139,1777881,32.0,Poison Sting,Megahorn,Cross Poison,100,-55,1.82,40,-35,1.14,3,1,8,1.0,1.5,4.0,14066.800000000001,True
Banette (Shadow),71.3,ghost,none,145.9,91.6,113,1510933,24.0,Shadow Claw,Shadow Ball,Thunder,100,-55,1.82,100,-60,1.67,6,1,8,1.0,3.0,4.0,10350.8,False
Klinklang,71.3,steel,none,126.4,141.2,99,1766641,21.5,Thunder Shock,Mirror Shot,Flash Cannon,35,-35,1.0,110,-70,1.57,3,1,9,1.0,1.5,4.5,13978.8,False
Monferno,71.3,fire,fighting,133.0,92.8,136,1678097,37.0,Ember,Flamethrower,Low Sweep,90,-55,1.64,40,-40,1.0,7,1,6,1.0,3.5,3.0,12620.8,True
Porygon2,71.3,normal,none,123.4,116.7,125,1800342,20.5,Lock On,Tri Attack,Zap Cannon,65,-50,1.3,150,-80,1.88,1,0,5,0.5,1.0,5.0,14587.5,False
Ursaring,71.3,normal,none,140.9,87.9,128,1585858,19.0,Counter,Close Combat,Hyper Beam,100,-45,2.22,150,-80,1.88,8,1,7,1.0,4.0,3.5,11251.2,False
Chandelure,71.2,ghost,fire,153.7,106.9,89,1461411,17.0,Incinerate,Flame Charge,Shadow Ball,65,-50,1.3,100,-55,1.82,15,4,20,2.5,3.0,4.0,9514.1,True
Lumineon,71.2,water,none,109.8,133.7,138,2025052,32.5,Water Gun,Blizzard,Silver Wind,140,-75,1.87,45,-45,1.0,3,0,3,0.5,3.0,3.0,18450.6,False
Beartic,71.1,ice,none,137.3,90.8,131,1633093,18.5,Powder Snow,Ice Punch,Surf,55,-40,1.38,65,-40,1.63,5,1,8,1.0,2.5,4.0,11894.8,False
Tentacruel,71.1,water,poison,110.7,143.1,127,2012706,23.5,Poison Jab,Acid Spray,Hydro Pump,20,-50,0.4,130,-75,1.73,6,1,7,1.0,3.0,3.5,18173.7,True
Aggron,71.0,steel,rock,117.3,153.6,105,1891990,18.0,Smack Down,Stone Edge,Heavy Slam,100,-55,1.82,70,-50,1.4,12,2,8,1.5,4.0,2.67,16128.0,True
Ponyta,71.0,fire,none,134.5,108.6,113,1650512,35.5,Ember,Flame Charge,Stomp,65,-50,1.3,55,-40,1.38,7,1,6,1.0,3.5,3.0,12271.8,False
Quilava,71.0,fire,none,128.8,106.7,127,1745457,40.0,Ember,Flame Charge,Flamethrower,65,-50,1.3,90,-55,1.64,7,1,6,1.0,3.5,3.0,13550.9,False
Staraptor,71.0,normal,flying,143.2,89.7,122,1567032,19.0,Wing Attack,Brave Bird,Close Combat,130,-55,2.36,100,-45,2.22,5,1,7,1.0,2.5,3.5,10943.4,True
Rufflet,70.9,normal,flying,130.4,88.5,147,1696693,40.0,Wing Attack,Brave Bird,Aerial Ace,130,-55,2.36,55,-45,1.22,5,1,7,1.0,2.5,3.5,13009.5,True
Cryogonal,70.8,ice,none,116.8,136.9,119,1902125,19.5,Ice Shard,Night Slash,Aurora Beam,50,-35,1.43,80,-60,1.33,9,2,10,1.5,3.0,3.33,16291.1,False
Heatmor,70.8,fire,none,135.3,90.7,134,1644248,23.5,Fire Spin,Flamethrower,Thunder Punch,90,-55,1.64,55,-40,1.38,9,2,10,1.5,3.0,3.33,12153.800000000001,False
Claydol,70.7,ground,psychic,105.5,169.7,119,2131919,28.5,Confusion,Earth Power,Shadow Ball,90,-55,1.64,100,-55,1.82,16,3,12,2.0,4.0,3.0,20194.3,True
Kricketune,70.6,bug,none,128.5,87.2,154,1726723,38.0,Fury Cutter,X-Scissor,Aerial Ace,45,-35,1.29,55,-45,1.22,2,0,4,0.5,2.0,4.0,13428.800000000001,False
Braixen,70.5,fire,none,131.5,106.5,121,1695411,30.5,Ember,Flame Charge,Psyshock,65,-50,1.3,70,-45,1.56,7,1,6,1.0,3.5,3.0,12886.5,False
Celebi,70.5,psychic,grass,120.5,120.5,127,1843005,16.5,Confusion,Seed Bomb,Psychic,55,-40,1.38,90,-55,1.64,16,3,12,2.0,4.0,3.0,15303.5,True
Ninjask,70.5,bug,flying,146.3,88.4,118,1525664,28.0,Fury Cutter,Aerial Ace,Shadow Ball,55,-45,1.22,100,-55,1.82,2,0,4,0.5,2.0,4.0,10431.2,True
Porygon2 (Shadow),70.5,normal,none,123.4,116.7,125,1800342,20.5,Lock On,Tri Attack,Zap Cannon,65,-50,1.3,150,-80,1.88,1,0,5,0.5,1.0,5.0,14587.5,False
Purugly,70.5,normal,none,128.4,103.8,131,1745605,29.5,Shadow Claw,Aerial Ace,Thunder,55,-45,1.22,100,-60,1.67,6,1,8,1.0,3.0,4.0,13597.8,False
Rotom (Wash),70.3,electric,water,131.0,141.6,92,1705995,22.0,Thunder Shock,Thunderbolt,Hydro Pump,90,-55,1.64,130,-75,1.73,3,1,9,1.0,1.5,4.5,13027.199999999999,True
Grimer (Shadow),70.2,poison,none,118.5,83.0,162,1593601,40.0,Poison Jab,Mud Bomb,Sludge Bomb,55,-40,1.38,80,-50,1.6,6,1,7,1.0,3.0,3.5,13446.0,False
Litleo,70.2,fire,normal,121.7,100.4,136,1661297,40.0,Ember,Flame Charge,Crunch,65,-50,1.3,70,-45,1.56,7,1,6,1.0,3.5,3.0,13654.400000000001,True
Plusle,70.1,electric,none,130.7,104.3,126,1717821,34.0,Spark,Thunderbolt,Grass Knot,90,-55,1.64,90,-50,1.8,4,1,8,1.0,2.0,4.0,13141.8,False
Weepinbell (Shadow),70.1,grass,poison,142.2,81.8,135,1570253,35.5,Bullet Seed,Power Whip,Sludge Bomb,90,-50,1.8,80,-50,1.6,5,2,13,1.5,1.67,4.33,11043.0,True
Basculin,69.9,water,none,133.5,97.4,127,1651583,26.0,Water Gun,Aqua Tail,Muddy Water,50,-35,1.43,35,-35,1.0,3,0,3,0.5,3.0,3.0,12369.800000000001,False
Graveler,69.9,rock,ground,121.6,128.8,115,1800435,29.0,Mud Shot,Rock Slide,Rock Blast,75,-45,1.67,50,-40,1.25,3,1,9,1.0,1.5,4.5,14812.000000000002,True
Kangaskhan,69.9,normal,none,116.4,109.0,151,1916883,21.5,Mud Slap,Stomp,Crunch,55,-40,1.38,70,-45,1.56,11,2,8,1.5,3.67,2.67,16459.0,False
Magcargo,69.9,fire,rock,110.5,157.3,115,1999192,36.0,Ember,Stone Edge,Overheat,100,-55,1.82,130,-55,2.36,7,1,6,1.0,3.5,3.0,18089.5,True
Wartortle,69.9,water,none,111.4,134.4,132,1976177,40.0,Water Gun,Ice Beam,Hydro Pump,90,-55,1.64,130,-75,1.73,3,0,3,0.5,3.0,3.0,17740.8,False
Weavile,69.9,dark,ice,143.4,104.3,104,1555112,18.0,Snarl,Avalanche,Foul Play,90,-45,2.0,70,-45,1.56,5,2,13,1.5,1.67,4.33,10847.199999999999,True
Exeggutor (Alolan),69.8,grass,dragon,135.0,96.0,127,1645404,18.5,Bullet Seed,Seed Bomb,Dragon Pulse,55,-40,1.38,90,-60,1.5,5,2,13,1.5,1.67,4.33,12192.0,True
Pyroar,69.8,fire,normal,136.9,95.0,126,1637659,19.5,Fire Fang,Flame Charge,Overheat,65,-50,1.3,130,-55,2.36,8,1,5,1.0,4.0,2.5,11970.0,True
Sandshrew (Alolan),69.8,ice,steel,110.6,113.8,120,1510970,40.0,Powder Snow,Night Slash,Blizzard,50,-35,1.43,140,-75,1.87,5,1,8,1.0,2.5,4.0,13656.0,True
Ursaring (Shadow),69.8,normal,none,140.9,87.9,128,1585858,19.0,Counter,Close Combat,Hyper Beam,100,-45,2.22,150,-80,1.88,8,1,7,1.0,4.0,3.5,11251.2,False
Palpitoad,69.7,water,ground,113.0,98.0,154,1705542,40.0,Mud Shot,Earth Power,Sludge Wave,90,-55,1.64,110,-65,1.69,3,1,9,1.0,1.5,4.5,15092.0,True
Weavile (Shadow),69.7,dark,ice,143.4,104.3,104,1555112,18.0,Snarl,Avalanche,Foul Play,90,-45,2.0,70,-45,1.56,5,2,13,1.5,1.67,4.33,10847.199999999999,True
Magnemite (Shadow),69.6,electric,steel,142.3,107.5,85,1299614,40.0,Thunder Shock,Magnet Bomb,Discharge,70,-45,1.56,65,-45,1.44,3,1,9,1.0,1.5,4.5,9137.5,True
Gothitelle,69.4,psychic,none,117.2,137.5,118,1902003,22.5,Confusion,Rock Slide,Psychic,75,-45,1.67,90,-55,1.64,16,3,12,2.0,4.0,3.0,16225.0,False
Pawniard,69.4,dark,steel,133.6,101.9,113,1538646,40.0,Fury Cutter,Night Slash,X-Scissor,50,-35,1.43,45,-35,1.29,2,0,4,0.5,2.0,4.0,11514.7,True
Pignite,69.4,fire,fighting,128.1,86.3,156,1724510,29.0,Ember,Flame Charge,Flamethrower,65,-50,1.3,90,-55,1.64,7,1,6,1.0,3.5,3.0,13462.8,True
Jolteon,69.3,electric,none,139.2,114.7,100,1596343,19.0,Volt Switch,Discharge,Last Resort,65,-45,1.44,90,-55,1.64,12,3,16,2.0,3.0,4.0,11470.0,False
Darumaka,69.2,fire,none,132.8,79.8,147,1557873,40.0,Fire Fang,Fire Punch,Flame Charge,55,-40,1.38,65,-50,1.3,8,1,5,1.0,4.0,2.5,11730.6,False
Gigalith,69.2,rock,none,128.3,118.4,114,1732509,17.0,Smack Down,Rock Slide,Superpower,75,-45,1.67,85,-40,2.13,12,2,8,1.5,4.0,2.67,13497.6,False
Mightyena,69.2,dark,none,127.9,103.2,132,1743018,28.0,Ice Fang,Crunch,Poison Fang,70,-45,1.56,40,-35,1.14,8,1,5,1.0,4.0,2.5,13622.4,False
Omastar,69.2,rock,water,128.4,126.1,108,1748538,20.0,Mud Shot,Rock Slide,Rock Blast,75,-45,1.67,50,-40,1.25,3,1,9,1.0,1.5,4.5,13618.8,True
Grimer,69.1,poison,none,118.5,83.0,162,1593601,40.0,Poison Jab,Mud Bomb,Sludge Bomb,55,-40,1.38,80,-50,1.6,6,1,7,1.0,3.0,3.5,13446.0,False
Masquerain,69.1,bug,flying,131.6,104.9,123,1697220,25.0,Air Slash,Bubble Beam,Lunge,25,-40,0.63,60,-45,1.33,9,2,9,1.5,3.0,3.0,12902.7,True
Scyther,69.1,bug,flying,136.7,110.1,109,1640076,20.5,Fury Cutter,Night Slash,X-Scissor,50,-35,1.43,45,-35,1.29,2,0,4,0.5,2.0,4.0,12000.9,True
Weezing,69.1,poison,none,118.5,137.4,115,1872102,24.0,Infestation,Sludge Bomb,Shadow Ball,80,-50,1.6,100,-55,1.82,6,2,12,1.5,2.0,4.0,15801.0,False
Murkrow,69.0,dark,flying,147.3,78.7,131,1519095,39.5,Feint Attack,Drill Peck,Foul Play,65,-40,1.63,70,-45,1.56,6,1,6,1.0,3.0,3.0,10309.7,True
Kabutops,68.9,rock,water,137.3,117.3,101,1627071,20.5,Mud Shot,Stone Edge,Ancient Power,100,-55,1.82,45,-45,1.0,3,1,9,1.0,1.5,4.5,11847.3,True
Sharpedo (Shadow),68.9,water,dark,167.9,64.1,123,1324956,24.5,Waterfall,Crunch,Poison Fang,70,-45,1.56,40,-35,1.14,12,2,8,1.5,4.0,2.67,7884.299999999999,True
Emboar,68.8,fire,fighting,139.7,78.6,146,1603836,19.0,Ember,Rock Slide,Flame Charge,75,-45,1.67,65,-50,1.3,7,1,6,1.0,3.5,3.0,11475.599999999999,True
Glaceon,68.8,ice,none,137.7,121.3,97,1620249,18.0,Ice Shard,Avalanche,Icy Wind,90,-45,2.0,60,-45,1.33,9,2,10,1.5,3.0,3.33,11766.1,False
Sunflora,68.8,grass,none,130.7,99.7,131,1706758,26.5,Bullet Seed,Sludge Bomb,Petal Blizzard,80,-50,1.6,110,-65,1.69,5,2,13,1.5,1.67,4.33,13060.7,False
Lairon,68.7,steel,rock,114.9,145.7,116,1941935,27.5,Metal Claw,Rock Slide,Body Slam,75,-45,1.67,60,-35,1.71,5,1,6,1.0,2.5,3.0,16901.199999999997,True
Omanyte (Shadow),68.7,rock,water,132.8,131.2,97,1689558,40.0,Mud Shot,Rock Blast,Brine,50,-40,1.25,60,-50,1.2,3,1,9,1.0,1.5,4.5,12726.4,True
Delcatty,68.6,normal,none,116.2,112.2,147,1916492,40.0,Feint Attack,Wild Charge,Disarming Voice,100,-45,2.22,70,-45,1.56,6,1,6,1.0,3.0,3.0,16493.4,False
Ledian,68.5,bug,flying,96.4,153.3,127,1877367,40.0,Bug Bite,Aerial Ace,Bug Buzz,55,-45,1.22,90,-60,1.5,3,0,3,0.5,3.0,3.0,19469.100000000002,True
Drifloon,68.4,ghost,flying,104.3,75.1,175,1370628,40.0,Hex,Icy Wind,Shadow Ball,60,-45,1.33,100,-55,1.82,6,2,12,1.5,2.0,4.0,13142.499999999998,True
Slowbro,68.4,water,psychic,115.3,120.3,140,1941701,22.0,Confusion,Psychic,Ice Beam,90,-55,1.64,90,-55,1.64,16,3,12,2.0,4.0,3.0,16842.0,True
Weepinbell,68.4,grass,poison,142.2,81.8,135,1570253,35.5,Bullet Seed,Power Whip,Seed Bomb,90,-50,1.8,55,-40,1.38,5,2,13,1.5,1.67,4.33,11043.0,True
Braviary,68.3,normal,flying,134.3,94.6,130,1652716,18.0,Air Slash,Brave Bird,Close Combat,130,-55,2.36,100,-45,2.22,9,2,9,1.5,3.0,3.0,12298.0,True
Lairon (Shadow),68.3,steel,rock,114.9,145.7,116,1941935,27.5,Metal Claw,Rock Slide,Body Slam,75,-45,1.67,60,-35,1.71,5,1,6,1.0,2.5,3.0,16901.199999999997,True
Delphox,68.2,fire,psychic,134.9,111.7,110,1656631,18.0,Fire Spin,Flame Charge,Psychic,65,-50,1.3,90,-55,1.64,9,2,10,1.5,3.0,3.33,12287.0,True
Slowking,68.2,water,psychic,115.3,120.3,140,1941701,22.0,Confusion,Psychic,Blizzard,90,-55,1.64,140,-75,1.87,16,3,12,2.0,4.0,3.0,16842.0,True
Aerodactyl (Shadow),68.1,rock,flying,135.0,103.9,117,1642003,20.0,Rock Throw,Rock Slide,Earth Power,75,-45,1.67,90,-55,1.64,8,1,5,1.0,4.0,2.5,12156.300000000001,True
Simisear,68.1,fire,none,138.7,92.3,126,1613093,24.0,Fire Spin,Crunch,Flamethrower,70,-45,1.56,90,-55,1.64,9,2,10,1.5,3.0,3.33,11629.8,False
Parasect,68.0,bug,grass,125.4,115.1,123,1775497,31.0,Fury Cutter,X-Scissor,Cross Poison,45,-35,1.29,40,-35,1.14,2,0,4,0.5,2.0,4.0,14157.3,True
Wormadam (Plant),68.0,bug,grass,110.7,146.8,124,2013961,33.5,Bug Bite,Energy Ball,Bug Buzz,90,-55,1.64,90,-60,1.5,3,0,3,0.5,3.0,3.0,18203.2,True
Magnemite,67.9,electric,steel,142.3,107.5,85,1299614,40.0,Thunder Shock,Magnet Bomb,Discharge,70,-45,1.56,65,-45,1.44,3,1,9,1.0,1.5,4.5,9137.5,True
Poliwhirl,67.9,water,none,114.6,109.1,140,1749682,40.0,Mud Shot,Mud Bomb,Scald,55,-40,1.38,80,-60,1.33,3,1,9,1.0,1.5,4.5,15274.0,False
Tyranitar (Shadow),67.9,rock,dark,131.8,108.9,119,1706817,14.5,Smack Down,Crunch,Stone Edge,70,-45,1.56,100,-55,1.82,12,2,8,1.5,4.0,2.67,12959.1,True
Bonsly,67.8,rock,none,109.9,117.0,120,1541849,40.0,Counter,Rock Slide,Earthquake,75,-45,1.67,120,-65,1.85,8,1,7,1.0,4.0,3.5,14040.0,False
Chimecho,67.7,psychic,none,121.4,120.8,126,1847419,25.5,Extrasensory,Psyshock,Shadow Ball,70,-45,1.56,100,-55,1.82,8,2,10,1.5,2.67,3.33,15220.8,False
Exeggutor,67.7,grass,psychic,136.6,92.9,128,1625028,18.0,Bullet Seed,Seed Bomb,Psychic,55,-40,1.38,90,-55,1.64,5,2,13,1.5,1.67,4.33,11891.2,True
Garchomp,67.7,dragon,ground,133.5,102.5,122,1668472,14.0,Mud Shot,Outrage,Earthquake,110,-60,1.83,120,-65,1.85,3,1,9,1.0,1.5,4.5,12505.0,True
Nidoqueen (Shadow),67.7,poison,ground,118.5,114.7,139,1889232,23.0,Poison Jab,Earth Power,Stone Edge,90,-55,1.64,100,-55,1.82,6,1,7,1.0,3.0,3.5,15943.300000000001,True
Sneasel,67.7,dark,ice,134.7,110.4,110,1634896,27.0,Ice Shard,Avalanche,Foul Play,90,-45,2.0,70,-45,1.56,9,2,10,1.5,3.0,3.33,12144.0,True
Wormadam (Sandy),67.7,bug,ground,110.7,146.8,124,2013961,33.5,Bug Bite,Bug Buzz,Bulldoze,90,-60,1.5,80,-60,1.33,3,0,3,0.5,3.0,3.0,18203.2,True
Exeggutor (Shadow),67.6,grass,psychic,136.6,92.9,128,1625028,18.0,Bullet Seed,Seed Bomb,Psychic,55,-40,1.38,90,-55,1.64,5,2,13,1.5,1.67,4.33,11891.2,True
Nidorino (Shadow),67.6,poison,none,120.1,99.6,135,1614849,40.0,Poison Jab,Sludge Bomb,Horn Attack,80,-50,1.6,40,-35,1.14,6,1,7,1.0,3.0,3.5,13446.0,False
Frogadier,67.5,water,none,135.7,98.1,123,1637566,39.0,Bubble,Surf,Aerial Ace,65,-40,1.63,55,-45,1.22,7,2,11,1.5,2.33,3.67,12066.3,False
Garbodor,67.5,poison,none,122.4,114.6,130,1823755,23.5,Infestation,Body Slam,Seed Bomb,60,-35,1.71,55,-40,1.38,6,2,12,1.5,2.0,4.0,14898.0,False
